PST,Total Confirmed,Total Critical,Total Discharged,Total Death,New Confirmed,New Discharged,New Death,Death Rate,Discharged Rate,Current Confirmed,Critical Rate
2019/12/1,1,,,,,,,,,,
2019/12/31,27,7,,,,,,,,,
2020/1/3,44,11,,,,,,,,,
2020/1/4,,,,,,,,,,,
2020/1/5,59,7,,,,,,,,,
2020/1/6,,,,,,,,,,,
2020/1/7,,,,,,,,,,,
2020/1/8,,,,,,,,,,,
2020/1/9,,,,,,,,,,,
2020/1/10,41,7,2,1,,,1,0.024390244,0.048780488,,
2020/1/11,41,7,6,1,0,,0,0.024390244,0.146341463,,
2020/1/12,41,6,7,1,0,1,0,0.024390244,0.170731707,,
2020/1/13,41,6,7,1,0,,,0.024390244,0.170731707,,
2020/1/14,41,6,7,1,0,,,0.024390244,0.170731707,,
2020/1/15,41,5,12,2,0,5,1,0.048780488,0.292682927,,
2020/1/16,45,5,15,2,4,3,0,0.044444444,0.333333333,,
2020/1/17,62,8,19,2,17,4,0,0.032258065,0.306451613,,
2020/1/18,121,,,,59,5,,,,,
2020/1/19,198,44,25,4,77,1,,0.02020202,0.126262626,,
2020/1/20,258,63,25,6,60,0,2,0.023255814,0.096899225,,
2020/1/21,,,,,,,,,,,
2020/1/22,425,,28,17,62,,8,0.04,0.065882353,,
2020/1/23,495,,31,23,70,3,6,0.046464646,0.062626263,,
2020/1/24,572,,32,38,77,1,15,0.066433566,0.055944056,,
2020/1/25,618,,40,45,46,8,7,0.072815534,0.064724919,,
2020/1/26,698,51,42,63,80,2,18,0.09025788,0.06017192,,
2020/1/27,1590,,42,85,892,0,22,0.053459119,0.026415094,,
2020/1/28,1905,,75,104,315,33,19,0.054593176,0.039370079,,
2020/1/29,2261,,82,129,356,7,25,0.057054401,0.036267138,,
2020/1/30,2639,,103,159,378,21,30,0.060250095,0.039029936,,
2020/1/31,3215,,139,192,576,36,33,0.059720062,0.043234837,,
2020/2/1,4109,,171,224,894,32,32,0.05451448,0.041615965,,
2020/2/2,5142,,224,265,1033,53,41,0.051536367,0.043562816,,
2020/2/3,6384,,303,313,1242,79,48,0.049028822,0.047462406,,
2020/2/4,8351,,368,362,1967,65,49,0.043348102,0.044066579,,
2020/2/5,10117,,431,414,1766,63,52,0.040921222,0.042601562,,
2020/2/6,11618,,534,478,1501,103,64,0.041143054,0.045963161,,
2020/2/7,13603,,698,545,1985,164,67,0.040064692,0.051312211,,
2020/2/8,14981,,877,608,1379,179,63,0.040582032,0.058536911,,
2020/2/9,16902,,1044,681,1921,167,73,0.04029109,0.061767838,,
2020/2/10,18454,,1206,748,1552,162,67,0.040533218,0.065351685,,
2020/2/11,19558,,1377,820,1104,171,72,0.041926577,0.070405972,,
2020/2/12,32994,5426,1915,1036,13436,538,216,0.031399648,0.058040856,30043,0.180607795
2020/2/13,35991,7492,2016,1124,3910,370,88,0.03123003,0.063488094,32959,0.227312722
2020/2/14,37914,8335,2502,1123,1923,486,107,0.029619666,0.073086459,34289,0.243080871
2020/2/15,39462,8530,2915,1233,1548,413,110,0.031245249,0.080685216,35314,0.241547262
2020/2/16,41152,8056,3458,1309,1690,543,76,0.031808904,0.09056668,36385,0.221409922
2020/2/17,42752,9222,4219,1381,1600,761,72,0.032302582,0.098685442,37152,0.248223514
2020/2/18,44412,9526,4895,1497,1660,676,116,0.033707106,0.110217959,38020,0.250552341
2020/2/19,45027,9689,5448,1585,615,553,88,0.035201102,0.12099407,37994,0.25501395
2020/2/20,45346,9628,6214,1684,319,766,99,0.037136682,0.13703524,37448,0.257103183
2020/2/21,45660,9555,7206,1774,314,992,90,0.038852387,0.15781866,36680,0.260496183
2020/2/22,46201,9228,8171,1856,541,965,82,0.040172291,0.176857644,36174,0.255100348
2020/2/23,46607,8329,8946,1987,348,772,131,0.042633081,0.178707061,35674,0.23347536
2020/2/24,47071,7647,10337,2043,464,1391,56,0.04340252,0.219604427,34691,0.220431812
2020/2/25,47441,7355,11793,2085,370,1456,42,0.043949327,0.24858245,33563,0.219140125
2020/2/26,47824,7049,13328,2104,383,1535,19,0.043994647,0.278688525,32392,0.217615461
2020/2/27,48137,6775,15826,2132,313,2498,28,0.044290255,0.328769969,30179,0.224493853
2020/2/28,48557,6585,17552,2169,420,1726,37,0.044669152,0.361472084,28836,0.228360383
2020/2/29,49122,6393,19227,2195,565,1675,26,0.044684663,0.391413216,27700,0.230794224
2020/3/1,49315,6225,21185,2227,193,1958,32,0.045158674,0.429585319,25903,0.240319654
2020/3/2,49426,6020,23031,2251,111,1846,24,0.045542832,0.465969328,24144,0.249337309
2020/3/3,49540,5723,24890,2282,114,1859,31,0.046063787,0.502422285,22368,0.255856581
2020/3/4,49671,5342,26316,2305,131,1426,23,0.046405347,0.529806124,21050,0.253776722
2020/3/5,49797,5208,27354,2328,126,1038,23,0.046749804,0.549310199,20115,0.25891126
2020/3/6,49871,5028,28511,2349,74,1157,21,0.047101522,0.571694973,19011,0.26447846
2020/3/7,49912,4850,29770,2370,41,1259,21,0.047483571,0.596449752,17772,0.272901193
2020/3/8,49948,4735,30933,2388,36,1163,18,0.047809722,0.619304076,16627,0.284777771
2020/3/9,49965,4471,31829,2404,17,896,16,0.04811368,0.637025918,15732,0.284197813
2020/3/10,49978,4217,33041,2423,13,1212,19,0.048481332,0.661110889,14514,0.290547058
2020/3/11,49986,4003,34094,2430,7,1053,7,0.048613612,0.68207098,13462,0.297355519
2020/3/12,49991,3793,35197,2436,5,1103,6,0.048728771,0.704066732,12358,0.306926687
2020/3/13,49995,3410,36451,2446,4,1254,10,0.048924892,0.729092909,11098,0.30726257
2020/3/14,49999,3058,37632,2456,4,1181,10,0.049120982,0.752655053,9911,0.30854606
2020/3/15,50003,2878,38384,2469,4,752,13,0.049377037,0.767633942,9150,0.314535519
2020/3/16,50004,2695,39220,2480,1,836,11,0.049596032,0.784337253,8304,0.324542389
2020/3/17,50005,2514,40032,2490,1,812,10,0.04979502,0.800559944,7483,0.335961513
2020/3/18,50005,2222,40765,2496,0,733,6,0.049915008,0.815218478,6744,0.329478055
2020/3/19,50005,2062,41389,2498,0,624,2,0.049955004,0.82769723,6118,0.337038248
2020/3/20,50005,1901,41891,2504,0,502,6,0.050074993,0.837736226,5610,0.33885918
2020/3/21,50005,1794,42354,2508,0,463,4,0.050154985,0.8469953,5143,0.348823644
2020/3/22,50005,1699,42788,2517,0,434,9,0.050334967,0.855674433,4700,0.361489362
2020/3/23,50006,1527,43214,2524,1,426,7,0.050473943,0.864176299,4268,0.357778819
2020/3/24,50006,1358,43686,2526,0,472,2,0.050513938,0.873615166,3794,0.357933579
2020/3/25,50006,1195,44068,2531,0,382,5,0.050613926,0.881254249,3407,0.350748459
2020/3/26,50006,995,44591,2535,0,523,4,0.050693917,0.891712994,2880,0.345486111
2020/3/27,50006,882,44951,2538,0,367,3,0.05075391,0.898912131,2538,0.34751773
2020/3/28,50006,706,45418,2543,0,467,5,0.050853898,0.90825101,2045,0.345232274
2020/3/29,,,,,,,,,,,
2020/3/30,,,,,,,,,,,
2020/3/31,,,,,,,,,,,
2020/4/1,,,,,,,,,,,
